title,description,year,genre,score,reviews
Zootrópolis 2,La policía coneja Judy Hopps y su amigo el zorro Nick Wilde vuelven a unirse para resolver su caso más peligroso y complejo.,2025,action,"7,7", (15 mil)
Una batalla tras otra,"Cuando su malvado enemigo resurge después de 16 años, una banda de exrevolucionarios se reúne para rescatar a la hija de uno de los suyos.",2025,action,"8,0", (185 mil)
Predator: Badlands,Un joven Depredador marginado de su clan encuentra un aliado poco probable en su viaje en busca del adversario definitivo.,2025,action,"7,5", (48 mil)
The Running Man,"Un hombre se une a un programa de juegos en el que los concursantes, a los que se les permite ir a cualquier parte del mundo, son perseguidos por «cazadores» empleados para matarlos.",2025,action,"6,7", (27 mil)
Zootrópolis,"En una ciudad de animales antropomórficos, una conejita policía y un cínico zorro estafador forman equipo para desvelar una conspiración.",2016,action,"8,0", (602 mil)
Playdate,Brian acaba de ser despedido de su trabajo. Se convierte en un padre que se queda en casa. Acepta una invitación para jugar de otro padre que resulta ser un bala perdida.,2025,action,"5,5", (16 mil)
Plan en familia 2,"Un exagente huye con su familia tras un ataque, eludiendo la persecución mientras protege a sus seres queridos de su peligroso pasado y enemigos letales. La persecución culmina en un enfrentamiento en Las Vegas.",2025,action,"5,6"," (7,2 mil)"
La educación de Polly McClusky,"Una niña marcada para morir, debe luchar y robar para mantenerse con vida, aprendiendo del hombre más aterrador que conoce: su padre. Adaptación de la galardonada novela de Jordan Harper.",2025,action,"6,5", (7 mil)
Los 4 Fantásticos: Primeros pasos,"La primera familia de Marvel se enfrenta a su mayor desafío hasta la fecha. Obligados a equilibrar su papel de héroes con la fuerza de su vínculo familiar, deben defender la Tierra de un voraz dios del espacio llamado Galactus.",2025,action,"6,9", (213 mil)
Bu feng zhui ying,La policía de Macao saca de su retiro al oficial de policía experto en rastreo para ayudar a atrapar a un peligroso grupo de ladrones profesionales.,2025,action,"7,3"," (3,4 mil)"
Sisu: Camino a la vengaza,"""El hombre que se niega a morir"" regresa a la casa donde su familia fue brutalmente asesinada para trasladarla a un lugar seguro en su honor, pero termina enfrentándose al comandante del Ejército Rojo responsable de la tragedia que vivió.",2025,action,"7,3"," (4,9 mil)"
